scenario,ltvBps,liqBps,borrowCap,priceShock,hf_after,shortfall
sweep,4000,6500,100000000000000000000,80000000,65000000000000000000,0
sweep,4000,6500,100000000000000000000,50000000,40625000000000000000,0
sweep,4000,6500,100000000000000000000,20000000,16250000000000000000,0
sweep,4000,6500,500000000000000000000,80000000,13000000000000000000,0
sweep,4000,6500,500000000000000000000,50000000,8125000000000000000,0
sweep,4000,6500,500000000000000000000,20000000,3250000000000000000,0
sweep,4000,7000,100000000000000000000,80000000,70000000000000000000,0
sweep,4000,7000,100000000000000000000,50000000,43750000000000000000,0
sweep,4000,7000,100000000000000000000,20000000,17500000000000000000,0
sweep,4000,7000,500000000000000000000,80000000,14000000000000000000,0
sweep,4000,7000,500000000000000000000,50000000,8750000000000000000,0
sweep,4000,7000,500000000000000000000,20000000,3500000000000000000,0
sweep,5000,6500,100000000000000000000,80000000,65000000000000000000,0
sweep,5000,6500,100000000000000000000,50000000,40625000000000000000,0
sweep,5000,6500,100000000000000000000,20000000,16250000000000000000,0
sweep,5000,6500,500000000000000000000,80000000,13000000000000000000,0
sweep,5000,6500,500000000000000000000,50000000,8125000000000000000,0
sweep,5000,6500,500000000000000000000,20000000,3250000000000000000,0
sweep,5000,7000,100000000000000000000,80000000,70000000000000000000,0
sweep,5000,7000,100000000000000000000,50000000,43750000000000000000,0
sweep,5000,7000,100000000000000000000,20000000,17500000000000000000,0
sweep,5000,7000,500000000000000000000,80000000,14000000000000000000,0
sweep,5000,7000,500000000000000000000,50000000,8750000000000000000,0
sweep,5000,7000,500000000000000000000,20000000,3500000000000000000,0
sweep,6000,6500,100000000000000000000,80000000,65000000000000000000,0
sweep,6000,6500,100000000000000000000,50000000,40625000000000000000,0
sweep,6000,6500,100000000000000000000,20000000,16250000000000000000,0
sweep,6000,6500,500000000000000000000,80000000,13000000000000000000,0
sweep,6000,6500,500000000000000000000,50000000,8125000000000000000,0
sweep,6000,6500,500000000000000000000,20000000,3250000000000000000,0
sweep,6000,7000,100000000000000000000,80000000,70000000000000000000,0
sweep,6000,7000,100000000000000000000,50000000,43750000000000000000,0
sweep,6000,7000,100000000000000000000,20000000,17500000000000000000,0
sweep,6000,7000,500000000000000000000,80000000,14000000000000000000,0
sweep,6000,7000,500000000000000000000,50000000,8750000000000000000,0
sweep,6000,7000,500000000000000000000,20000000,3500000000000000000,0
